Country,2008,2009,2010,2011,2012,2013,2014,2015
Zimbabwe,2600,2400,2300,2100,2000,2000,2200,2400
Zambia,1600,1600,1500,1500,1500,1500,1500,1400
Yemen,3300,3400,3400,3400,3400,3400,3400,3300
"West Bank and Gaza",77,76,74,72,71,70,69,69
"Virgin Islands (U.S.)",..,..,..,..,..,..,..,..
Vietnam,860,880,900,870,880,870,860,860
Venezuela,580,590,590,590,590,590,580,570
Vanuatu,6,6,6,6,6,6,6,5
Uzbekistan,250,250,250,250,250,250,250,240
Uruguay,10,10,9,9,8,8,7,7
"United States",580,600,580,580,570,570,560,550
"United Kingdom",84,82,80,77,77,76,75,74
"United Arab Emirates",5,5,5,6,6,6,6,6
Ukraine,150,140,130,120,120,120,120,120
Uganda,6400,6300,6300,6200,6200,5900,5800,5700
Tuvalu,..,..,..,..,..,..,..,..
"Turks and Caicos",..,..,..,..,..,..,..,..
Turkmenistan,53,52,51,51,50,49,48,47
Turkey,420,350,300,270,250,230,220,210
Tunisia,120,130,130,130,130,130,130,130
"Trinidad and Tobago",13,13,13,13,13,13,12,12
Tonga,4,4,4,4,4,4,3,3
Togo,940,940,950,970,970,970,960,940
"Timor Leste",160,150,140,120,120,110,100,94
Thailand,190,190,180,170,170,160,150,140
Tanzania,10000,10000,9700,9200,9100,8700,8500,8200
Tajikistan,81,82,82,83,83,84,83,82
Syria,260,250,250,250,260,280,290,300
Switzerland,5,4,5,5,5,4,4,4
Sweden,5,5,5,5,5,5,5,5
Swaziland,170,160,160,160,150,160,150,150
Suriname,19,18,17,16,15,16,15,15
Sudan,4600,4500,4400,4300,4200,4200,4200,4100
"Saint Vincent and Grenadines",1,1,1,1,1,1,1,1
"Saint Martin (France)",..,..,..,..,..,..,..,..
"Saint Lucia",2,2,2,1,1,1,1,1
"Saint Kitts and Nevis",..,..,..,..,..,..,..,..
"Sri Lanka",140,130,120,120,110,110,100,98
Spain,25,24,22,23,21,21,21,21
"South Sudan",3400,3300,3400,3500,3500,3600,3600,3500
"South Africa",1500,1600,1700,1700,1700,1600,1600,1500
Somalia,3600,3600,3500,3500,3500,3500,3500,3400
"Solomon Islands",25,24,23,23,22,21,20,19
Slovenia,2,2,2,2,2,2,2,2
Slovakia,3,3,3,3,3,3,3,3
"Saint Martin (Netherlands)",..,..,..,..,..,..,..,..
Singapore,7,6,6,6,6,5,5,5
"Sierra Leone",3900,3800,3700,3600,3400,3300,3200,3100
Seychelles,..,..,..,..,..,..,..,..
Serbia,14,14,15,15,15,15,15,15
Senegal,1900,1900,1900,1900,1900,1800,1800,1800
"Saudi Arabia",90,87,84,82,79,77,75,72
"Saint Thomas and Principe",10,10,10,10,10,10,10,10
"San Marino",..,..,..,..,..,..,..,..
Samoa,4,3,3,3,3,3,3,2
Rwanda,1600,1500,1400,1300,1200,1200,1100,1100
Russia,530,510,500,480,470,460,460,450
Romania,61,62,61,60,58,57,57,56
Qatar,3,3,3,3,3,3,3,3
"Puerto Rico",8,8,7,7,7,7,6,6
Portugal,11,11,11,9,10,9,9,8
Poland,18,17,15,14,13,13,12,12
Philippines,3000,3000,3000,2900,2900,2800,2700,2700
Peru,610,580,560,520,460,450,430,420
Paraguay,210,220,190,200,190,190,190,190
"Papua New Guinea",530,510,490,480,480,470,470,460
Panama,67,69,75,76,75,74,73,71
Palau,..,..,..,..,..,..,..,..
Pakistan,11000,11000,11000,11000,10000,10000,10000,9700
