Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,84700,97400,104900,96600,96100,99000,101700,111200,100400,93000,76200,129100,181000,200200,220400,225500,184400,217900,201000,220000,241400,212300,212300,197000,238400,250400,255600,89600,52700,140200,149705,334647.2,519589.4,704531.6,889473.8,1074416,1259358.2,1444300.4,1629242.6,1814184.8,1999127,2279341.18,1737962.126,2044188,2209428,1929907.728,1917922.714
Albania,,,,,,,,,,,,,,,,,,,,,,,,,9100,13000,29000,55400,21200,91500,136622,146273,137569,158888,179543,195702,213315,238913,243691,231263,768533,829778.9239,814339.7303,865848,151632,89132.8,26633.6
Algeria,563200,714800,843900,1053600,1252100,1618000,1681600,1997100,2229000,2663400,2950000,3000000,3150000,3410500,3781000,3965900,3689900,3566900,3655000,3862300,3748000,3385000,3551100,3254500,3241000,3477800,3494100,3517700,3381800,2936800,2997480,3419249,3002232,3292815,3236364,3037298,2899722,2813018,2884506,4370917,3372283,3543663,4082595,4492436.963,5021288.963,5400896,6093415.337
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49772.7887,50641.72277,56096.97968,72240,76944,98949.984,
Angola,,,,,,,155400,282700,308000,546100,635200,801100,890500,952500,689600,894200,727000,746000,750000,509800,451500,456000,440000,333500,519000,552500,585000,555000,552900,293800,235448,193317,189619,198253,222032,239795,262666,277361,283887,274869,1010194,987798,1132424,1321872,1409952,1244491,1261671.262
"Antigua and Barbuda",,,,,,,,,,,,389000,376800,385000,420000,500000,600000,582000,700000,740000,755000,870000,913500,955000,1000000,1050000,1098000,1250000,1245200,1371300,1426114,1369069,1286925,1428487,714000,778260,754912,800207,813010,747969,1554309,1424420.155,1310276.413,1218000,1216152,1039809.96,1042929.389
Argentina,2332000,2218600,2358500,2312700,2943500,3299200,3293600,3884100,3946700,5023500,5588500,4890100,4595900,4399600,5163600,4713200,5034700,5405800,5068800,4748400,5369100,4545900,5251400,5104500,6260700,6641700,7913000,8599800,8446500,9191900,8915627,5808770,5662905,6036360,6795484,6938436,6611915,7036784,6147290,5694547,9025035.312,8590839.85,9375669.74,11951276.82,12121912.82,14245183.35,15076354.8
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,358100,367800,365300,343100,298232,369164,407777,366581,509904,555795,605817,560626,623688,653320,704753,392312,364733,45000,,,
Australia,7318700,7326600,7795600,9384600,10664700,11055100,10864300,11306500,12122300,13022500,13648800,13219500,13187900,12601500,13236800,14412100,15497300,16880200,18816300,15114300,17553400,21860100,23886600,26929300,26888500,28831400,30075100,30953500,30185700,31579700,32577569,33477398,39021581,41386432,41596552,44657324,46951775,48728837,51488427,50026967,60640913,63360310.34,66355274,68197955,68123237.67,69779345.48,72597700.81
Austria,511400,582100,706600,830900,840800,912100,1060800,1136600,1238900,1301600,1284500,1358100,1447600,1498400,1514000,1708000,1640400,1879700,1964600,2283800,2532100,2605700,3024200,3296900,3747900,4265400,4718600,5153900,5871500,6056600,6641875,6550376,7070344,6902780,7619372,8037890,8785116,9140909,9140680,8520740,13493793,14088251.66,14518841.05,15037454,15210489,14718641.22,14724774.31
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,1454900,1383400,1380000,1156000,1232900,981800,669400,571700,545800,543800,575300,683700,1007000,1134300,1253400,1440700,756338,839514,796698,1348414,1560084,1651710,1770192,1803112,1961639
