Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,95.54279705,91.88577534,104.0125413,68.40912293,37.63771177,27.07910599,20.52610084,21.54893254,17.83623182,14.77170986,15.10549174,18.87057167,11.15049583,9.01498696,12.66637369,14.91168355,26.11071325,27.07227493,29.00589195
Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,0.018647865,0.003247977,0.00534471,0.002638474,0.001041573,0.000513598,0.000506097,0.012955969,0.001470659,0.001,0.000473231,0.000464402,0.025048469,0.003571173,,,,,
"American Samoa",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,324.4403319,328.2756452,312.3024977,315.3473086,319.6627512,323.6861264,313.8056482,286.7159905,241.1858311,204.3498625,185.515464,175.9889285,174.434566,180.9027027,187.943236,199.9920027,219.9919549,228.9089405,228.9089503
"Antigua and Barbuda",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,2.386725467,1.153569627,0.663453781,0.640625082,0.597529864,1.295869673,1.079160495,1.950398395,0.648702595,0.424873896,0.068467023,,,,,,,,
Armenia,0.045934369,0.025895815,0.017139226,0.00960921,0.015662934,0.002347999,,,,,,,,,,,,,
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,8.168159167,5.611630608,2.657953901,2.506343858,1.986363052,1.232254517,0.720428428,0.538231908,0.35485111,0.380005846,0.240678521,0.01901466,0.014078757,,,,,,
Bahamas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,7.180469891,6.914681656,6.667468361,6.440566427,6.235810038,6.053405865,4.523223866,4.891360326,7.803589597,8.172224722,4.334078051,3.947231602,2.201570951,1.544275742,3.298356943,2.717477185,1.863934215,1.947705584,0.692739752
Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,8.708238838,6.602422782,6.263566919,5.830935155,5.597601627,7.910325809,4.198524547,4.095361337,2.550695064,1.179120358,0.674157303,0.315980725,0.141497299,0.083844435,0.0779257,0.036139063,0.015735951,0.026997424,0.011349965
Benin,410.9448283,428.659403,435.0686734,454.3093622,475.3834289,487.0416424,492.7307682,480.2427973,453.1691985,417.9566186,387.7550288,370.1063617,378.0328893,394.9973382,399.2375112,411.8236242,421.5764024,399.5579673,386.1823669
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,13.57036698,13.39168784,14.28295653,8.19197548,5.648187714,3.801528944,3.839844762,1.611768962,0.661982487,1.936397703,1.036921093,0.444410659,0.157944411,0.028540279,0.035707641,0.06312264,0.027514757,0.019937794,0.010747815
Bolivia,11.95221731,5.7365154,4.983909697,6.823235433,4.911089496,8.878989654,8.178879619,4.565783581,2.99523189,2.983425809,4.093001667,2.089215096,2.330476029,2.258942466,2.254780291,1.888961126,1.500554366,1.220001887,1.405473055
"Bosnia and Herzegovina",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Botswana,17.87974495,7.034261628,3.282764601,1.631490196,1.041419269,1.245014701,4.008455631,1.033459976,1.934593877,2.098626164,1.691947197,0.510410656,0.224820975,0.53311453,1.498500056,0.370555292,0.805869861,2.051410439,0.588195538
Brazil,21.44046584,12.98592264,11.17265798,12.6167805,13.83381903,17.42217472,15.29356061,13.84882767,8.611476998,8.355352885,9.811484901,7.083696352,6.379754257,4.822141907,3.597358084,3.881032675,3.222424261,5.234572354,5.124373531
"British Virgin Islands",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Burkina Faso",589.325713,588.4521435,580.5744476,566.2661332,537.0104898,506.7793131,493.7769598,503.8016692,533.3870443,552.0285913,551.2381089,539.5628568,527.5404055,487.5243304,436.0630817,400.0872748,401.7310626,399.9437614,398.733694
Burundi,442.6607781,431.2350262,391.0705331,355.7391411,307.7711756,262.0456853,235.6769652,222.9154949,222.7746531,220.6495356,210.1978813,184.1450365,153.9276694,140.5884216,141.5075585,165.5009225,225.743378,250.2725129,250.2724964
"Cape Verde",1.293498374,0.944545471,0.659905529,0.581295948,0.379043127,0.56484035,0.655823715,0.145728928,0.279957446,0.513699983,0.366938097,0.053969453,0.007612552,0.165348886,0.192948475,0.051307611,0.347584289,3.026855291,0.014146473
Cambodia,77.83855331,44.30406728,39.050637,51.13384513,43.62238018,41.40968891,45.95098366,19.7599226,21.88537957,42.76821146,34.90518456,35.78910314,24.87561047,15.88533604,22.25959583,19.93656543,11.13353797,17.90332473,23.69294269
