Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Angola,154010,870929,1753142,1977589,1361111,2317650,2275646,675000,1900000,4715212,1287900,2574000,1655110,8951200,3313321,113000,2414461
Benin,26500,104875,183250,2002310,578542,1274179,1899500,3513700,512020,820162,5935726,810000,905000,6196650,800000,9694973,590200
Botswana,,,3300,46180,89060,13650,73400,37900,2400,26200,50000,88115,126230,125633,125036,,
"Burkina Faso",216500,276160,198390,907858,1011491,959250,5220404,349360,386799,10033129,678720,9761675,4111587,1707900,7539625,6449196,983084
Burundi,160250,302600,1037300,584135,1514765,2164853,2978604,589000,866209,5223219,1438288,1410500,1236801,7343033,1053000,6378826,986400
"Central African Republic",,18500,147500,365000,891536,1100000,572875,45750,117120,2843242,644500,67000,2443686,144400,2105500,232250,847750
Cameroon,22400,30502.5,38605,146225,1187372,351170,63950,9118268,133470,79650,1324624,11637039,594780,1059110,5430628,7428232,1022949
Chad,18800,86120,129400,244500,98348,419495,1245825,3090585,408054,4954500,1740350,161350,6875350,1447300,1026665,8296861,3206240
Comoros,11000,21286.75,31573.5,41860.25,52147,35895,273162,340400.6667,407639.3333,474878,483339,491800,500261,277880.5,55500,17000,444750
"Congo (Brazzaville)",38620,30000,121800,100000,226519,927190,2121106,695300,13960,193000,5000,5000,5000,5000,3074790,30000,94250
"Ivory Coast",,,350200,394200,1591308,412400,8158223,940236,490844,2354569,14164490,994350,1739547,16307314,2700481,2603193,19825155
Djibouti,27800,15000,125,118000,82111,55405.5,28700,46400,36700,27000,88076.5,149153,349181,549209,2400,201304,27000
"Congo (Kinshasa)",713053,1089997,1750841,3317755,8506216,7129370,12154287,17873788,775690,13418804,20795345,26793394,13635628,13031191,28432276,28003755,33446684
"Equatorial Guinea",,13000,28330,166000,105150,3000,3000,27600,21400,51870,157130,104000,2000,175000,7000,151000,150000
Eritrea,200,57700,197811,223191,455442,175000,1336500,119700,117500,16000,1264800,822389.5,379979,1718750,951566.5,184383,1962249
Ethiopia,642210,2432635,12294218,4639411,1935148,2196289,15146406,1302400,5349703,11625273,9457032,23563000,16000,10470950,5855870,15130353,5926490
Gabon,,36000,290236,125360,12700,2679,128600,24081,28537,30000,200,15000,12000,3000,4500,109200,40000
Gambia,,50000,29060,193100,324048,1250,644355,233716,303315,1095270,1173034.3333,1250798.6667,1328563,155174,1301586,,
Ghana,203873,173350,3268898,2015509,2663727,1615748,5740705,6563498,3475950,2332780,7793508,8008396,3803800,8685602,15463607,3193066,12222317
Guinea,6000,167850,515540,131000,115288,3443681,39599,104888,3357950,2698050,594053,292570,2377740,1845305,1335000,8119400,723550
"Guinea Bissau",26000,86541.5,147083,12000,129773,80108,12500,1114939,60000,432700,619050,100255,445160,172000,90000,1424000,
Kenya,391883,2814594,8700429,1555150,3235173,4293195,7305749,9869447,5816422,4866832,6886113,6720361,3288720,17430066,2146646,421150,10742190
Liberia,38100,164152,470083,771086,632022,795880,1040621,740000,1115515,10000,2698976,767384,320000,2744719,550000,399200,248400
