Country,2009,2010,2011,2012,2013,2014,2015,2016,2017
Zimbabwe,98,..,98,..,98,..,98,..,..
Zambia,84,..,84,..,84,..,84,..,..
Yemen,70,..,70,..,70,..,70,..,..
"West Bank and Gaza",70,..,70,..,70,..,70,..,..
"Virgin Islands (U.S.)",..,..,..,..,..,..,..,..,..
Vietnam,120,..,120,..,180,..,180,..,..
Venezuela,126,..,126,..,182,..,182,..,..
Vanuatu,..,..,..,..,..,..,84,..,..
Uzbekistan,126,..,126,..,126,..,126,..,..
Uruguay,84,..,84,..,84,..,98,..,..
"United States",..,..,..,..,..,..,..,..,..
"United Kingdom",273,..,273,..,273,..,14,..,..
"United Arab Emirates",45,..,45,..,45,..,45,..,..
Ukraine,126,..,126,..,126,..,126,..,..
Uganda,84,..,84,..,84,..,84,..,..
Tuvalu,..,..,..,..,..,..,..,..,..
"Turks and Caicos",..,..,..,..,..,..,..,..,..
Turkmenistan,..,..,..,..,..,..,..,..,..
Turkey,112,..,112,..,112,..,112,..,..
Tunisia,30,..,30,..,30,..,30,..,..
"Trinidad and Tobago",..,..,..,..,..,..,98,..,..
Tonga,,..,,..,,..,,..,..
Togo,98,..,98,..,98,..,98,..,..
"Timor Leste",..,..,..,..,..,..,84,..,..
Thailand,90,..,90,..,90,..,90,..,..
Tanzania,84,..,84,..,84,..,84,..,..
Tajikistan,140,..,140,..,140,..,140,..,..
Syria,60,..,120,..,120,..,120,..,..
Switzerland,98,..,98,..,98,..,98,..,..
Sweden,..,..,..,..,..,..,..,..,..
Swaziland,..,..,..,..,..,..,14,..,..
Suriname,,..,,..,,..,,..,..
Sudan,56,..,56,..,56,..,56,..,..
"Saint Vincent and Grenadines",..,..,..,..,..,..,91,..,..
"Saint Martin (France)",..,..,..,..,..,..,..,..,..
"Saint Lucia",..,..,..,..,..,..,91,..,..
"Saint Kitts and Nevis",..,..,..,..,..,..,91,..,..
"Sri Lanka",84,..,84,..,84,..,84,..,..
Spain,112,..,112,..,112,..,112,..,..
"South Sudan",..,..,..,..,..,..,56,..,..
"South Africa",120,..,120,..,120,..,120,..,..
Somalia,..,..,..,..,..,..,..,..,..
"Solomon Islands",..,..,..,..,..,..,84,..,..
Slovenia,105,..,105,..,105,..,105,..,..
Slovakia,238,..,238,..,238,..,238,..,..
"Saint Martin (Netherlands)",..,..,..,..,..,..,..,..,..
Singapore,112,..,112,..,112,..,105,..,..
"Sierra Leone",..,..,84,..,84,..,84,..,..
Seychelles,..,..,..,..,..,..,98,..,..
Serbia,135,..,135,..,135,..,135,..,..
Senegal,98,..,98,..,98,..,98,..,..
"Saudi Arabia",70,..,70,..,70,..,70,..,..
"Saint Thomas and Principe",..,..,..,..,..,..,90,..,..
"San Marino",..,..,..,..,..,..,150,..,..
Samoa,..,..,..,..,..,..,28,..,..
Rwanda,84,..,84,..,84,..,84,..,..
Russia,140,..,140,..,140,..,140,..,..
Romania,126,..,126,..,126,..,126,..,..
Qatar,..,..,..,..,..,..,50,..,..
"Puerto Rico",56,..,56,..,56,..,56,..,..
Portugal,..,..,..,..,..,..,..,..,..
Poland,112,..,140,..,182,..,182,..,..
Philippines,60,..,60,..,60,..,60,..,..
Peru,90,..,90,..,90,..,90,..,..
Paraguay,63,..,63,..,63,..,63,..,..
"Papua New Guinea",,..,,..,,..,,..,..
Panama,98,..,98,..,98,..,98,..,..
Palau,..,..,..,..,..,..,..,..,..
Pakistan,84,..,84,..,84,..,84,..,..
Oman,42,..,42,..,50,..,50,..,..
Norway,..,..,..,..,..,..,..,..,..
"Northern Mariana Islands",..,..,..,..,..,..,..,..,..
Nigeria,84,..,84,..,84,..,84,..,..
Niger,98,..,98,..,98,..,98,..,..
Nicaragua,84,..,84,..,84,..,84,..,..
"New Zealand",98,..,98,..,98,..,112,..,..
"New Caledonia",..,..,..,..,..,..,..,..,..
Netherlands,112,..,112,..,112,..,112,..,..
Nepal,52,..,52,..,52,..,52,..,..
Nauru,..,..,..,..,..,..,..,..,..
Namibia,84,..,84,..,84,..,84,..,..
"Burma (Myanmar)",..,..,..,..,..,..,98,..,..
Mozambique,60,..,60,..,60,..,60,..,..
Morocco,98,..,98,..,98,..,98,..,..
Montenegro,365,..,365,..,45,..,45,..,..
Mongolia,120,..,120,..,120,..,120,..,..
Monaco,..,..,..,..,..,..,..,..,..
Moldova,126,..,126,..,126,..,126,..,..
Micronesia,..,..,..,..,..,..,..,..,..
Mexico,84,..,84,..,84,..,84,..,..
Mauritius,84,..,84,..,84,..,84,..,..
Mauritania,98,..,98,..,98,..,98,..,..
"Marshall Islands",..,..,..,..,..,..,..,..,..
Malta,..,..,..,..,..,..,126,..,..
Mali,98,..,98,..,98,..,98,..,..
Maldives,..,..,..,..,..,..,60,..,..
Malaysia,60,..,60,..,60,..,60,..,..
Malawi,56,..,56,..,56,..,56,..,..
Madagascar,98,..,98,..,98,..,98,..,..
