Country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,3
Albania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Algeria,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Andorra,4,4,4,4,4,4.1176,4.2353,4.3529,4.4706,4.5882,4.7059,4.8235,4.9412,5.0588,5.1765,5.2941,5.4118,5.5294,5.6471,5.7647,5.8824,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Angola,,,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"Antigua and Barbuda",,,,,,,,,,6,6,6,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,5,5,5,6,6,6,6,6,6
Argentina,2,6,6,6,2,2,2,2,2,2,2,5,6,6,6,6,6,7,7,7,6,6,6,6,6,6,5,6,7,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Armenia,,,,,,,,,,,,,,,,,,,,3,4,5,5,4,3,3,4,4,4,4,4,4,3,3,3,3,2,2,2,2,3,3,3,3,3,3
Australia,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Austria,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Azerbaijan,,,,,,,,,,,,,,,,,,,,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Bahamas,,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Bahrain,2,2,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,2,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1
Bangladesh,6,4,4,1,1,2,4,5,5,3,3,2,2,3,4,4,4,4,3,6,6,6,6,5,6,6,6,5,5,5,4,4,4,4,4,3,4,5,5,5,5,5,4,4,4,4
Barbados,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
