Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,11,11,11,9,9,9,9,9,9,9,9,9,9
Albania,6,6,6,6,6,6,6,6,6,6,6,6,6
Algeria,14,14,14,14,14,10,10,10,10,10,10,10,10
Angola,7,7,7,7,7,7,7,7,7,7,7,7,7
"Antigua and Barbuda",,6,6,6,6,6,7,7,7,7,7,7,7
Argentina,5,5,5,5,5,6,6,7,7,7,7,7,7
Armenia,4,4,3,3,3,3,3,3,3,3,3,3,3
Australia,5,5,5,5,5,5,5,5,5,5,5,5,5
Austria,3,3,3,3,3,3,3,3,3,3,3,3,3
Azerbaijan,7,7,7,7,3,3,3,3,3,3,3,3,3
Bahamas,,,,7,7,7,7,7,7,7,7,7,7
Bahrain,,,,2,2,2,2,2,2,2,2,2,2
Bangladesh,8,8,8,8,8,8,8,8,8,8,8,8,8
Barbados,,,,,,,,6,6,6,6,6,6
Belarus,7,7,7,7,4,3,3,2,2,2,2,2,2
Belgium,7,7,7,7,7,7,8,8,8,8,8,8,8
Belize,,8,8,8,8,8,8,8,8,9,9,9,9
Benin,4,4,4,4,4,4,4,4,4,4,4,4,4
Bhutan,3,3,3,3,3,3,3,3,3,3,3,3,3
Bolivia,7,7,7,7,7,7,7,7,7,7,7,7,7
"Bosnia and Herzegovina",7,7,7,7,7,7,7,7,7,7,7,7,7
Botswana,3,3,3,3,3,4,4,4,4,4,4,4,4
Brazil,14,14,13,13,13,13,13,13,14,13.6,13.6,13.6,13.6
Brunei,,,7,7,7,7,7,6,6,6,6,6,6
Bulgaria,8,8,8,8,8,8,8,8,8,8,8,8,8
"Burkina Faso",8,8,8,8,6,4,4,4,4,4,4,4,4
Burundi,8,8,8,8,8,8,8,8,8,5,5,5,5
"Cape Verde",,6,6,6,6,6,6,6,6,6,6,6,6
Cambodia,7,7,7,7,7,7,7,7,7,7,7,7,7
Cameroon,5,5,5,5,5,5,5,5,5,5,5,5,5
Canada,6,6,6,6,6,6,6,6,6,6,6,6,6
"Central African Republic",5,5,5,5,5,5,5,5,5,5,5,5,5
Chad,6,6,6,6,6,6,6,6,6,6,6,6,6
Chile,6,6,6,6,6,6,6,6,6,6,6,6,6
China,4,4,4,4,4,4,4,4,4,4,4,4,4
Colombia,9,9,9,9,9,7,7,7,7,7,6,6,6
Comoros,,4,4,4,4,4,4,4,4,4,4,4,4
"Congo (Kinshasa)",7,7,7,7,7,7,7,7,7,7,7,7,7
"Congo (Brazzaville)",6,6,6,6,6,6,6,6,6,6,6,6,6
"Costa Rica",6,6,6,6,6,6,6,5,5,5,5,5,5
"Ivory Coast",7,7,6,6,6,6,6,6,6,6,6,6,6
Croatia,5,5,5,5,5,5,5,5,5,5,5,5,5
Cyprus,,,,,7,7,7,7,7,7,7,7,7
"Czech Republic",5,5,5,5,5,5,5,5,4,4,4,4,4
Denmark,6,6,6,6,6,6,3,3,3,3,3,3,3
Djibouti,,6,6,6,6,6,6,6,6,6,6,6,6
Dominica,,5,5,5,5,5,5,5,5,5,5,5,5
"Dominican Republic",6,6,6,6,6,6,6,6,6,6,6,6,6
Ecuador,9,7,7,7,7,7,7,7,7,7,7,7,7
Egypt,8,8,8,8,8,8,8,8,8,8,8,8,8
"El Salvador",5,5,6,5,5,5,5,5,5,5,5,5,5
"Equatorial Guinea",,6,6,6,6,6,6,6,6,6,6,6,6
Eritrea,11,11,11,11,11,11,11,11,11,11,11,11,11
Estonia,3,3,3,3,3,3,3,3,3,3,3,3,3
Ethiopia,9,9,9,9,9,7,7,7,7,7,7,7,7
Fiji,3,3,3,3,3,3,3,3,4,4,4,4,4
Finland,3,3,3,3,3,3,3,3,3,3,3,3,3
France,9,9,9,9,9,8,8,8,8,8,8,8,8
Gabon,,7,7,7,7,6,6,6,6,6,6,6,6
Gambia,,5,5,5,5,5,5,5,5,5,5,5,5
Georgia,8,6,6,5,2,2,1,1,1,1,1,1,1
Germany,6,6,6,6,6,6,6,6,6,6,6,6,6
Ghana,6,6,6,5,5,5,5,5,5,5,5,5,5
Greece,11,11,11,11,11,11,11,11,11,11,10,10,10
Grenada,,8,8,8,8,8,8,8,8,8,8,8,8
Guatemala,7,7,7,7,7,6,6,6,6,6,6,6,6
Guinea,6,6,6,6,6,6,6,6,6,6,6,6,6
"Guinea Bissau",,8,8,8,8,8,8,8,8,8,8,8,8
Guyana,6,6,6,6,6,6,6,6,6,6,6,6,6
Haiti,5,5,5,5,5,5,5,5,5,5,5,5,5
Honduras,6,6,6,6,6,6,6,6,6,6,6,6,6
"Hong Kong",5,5,5,5,5,5,5,5,5,5,5,5,5
Hungary,4,4,4,4,4,4,4,4,4,4,4,4,4
Iceland,3,3,3,3,3,3,3,3,3,3,3,3,3
India,7,7,7,7,7,7,7,7,7,7,7,7,7
Indonesia,5,5,5,5,5,5,5,5,5,5,5,5,5
Iran,7,7,7,7,7,7,7,7,7,7,7,7,7
Iraq,5,5,5,5,5,5,5,5,5,5,5,5,5
Ireland,5,5,5,5,5,5,5,5,5,5,5,5,5
Israel,6,6,6,6,6,6,6,6,6,6,6,6,6
Italy,5,5,5,5,5,5,5,5,5,4,4,4,4
Jamaica,7,7,7,7,7,7,7,7,7,7,8,8,8
Japan,6,6,6,6,6,6,6,6,6,6,6,6,6
Jordan,7,7,7,7,7,7,7,7,7,7,7,7,7
Kazakhstan,7,7,7,7,4,4,4,4,4,4,4,3,3
Kenya,9,9,9,9,9,9,9,9,9,9,9,9,9
Kiribati,5,5,5,5,5,5,5,5,5,5,5,5,5
"South Korea",7,7,7,7,7,7,7,7,7,7,7,7,7
Kosovo,,,,,,7,7,7,7,6,6,6,6
Kuwait,8,8,8,8,8,8,8,8,8,8,8,8,8
Kyrgyzstan,6,6,6,6,6,3,3,3,3,3,3,3,3
Laos,8,8,8,8,8,8,4,4,4,4,4,4,4
Latvia,10,10,8,8,7,6,6,5,5,5,5,4,4
Lebanon,8,8,8,8,8,8,8,8,8,8,8,8,8
Lesotho,6,6,6,6,6,6,6,6,6,4,4,4,4
Liberia,,,10,10,10,10,10,10,10,10,10,10,10
Lithuania,3,3,3,3,3,3,3,3,3,3,3,3,3
Luxembourg,,,7,7,7,7,7,7,7,7,7,7,7
"Macedonia (F.Y.R.O.M.)",8,8,8,8,8,7,7,7,7,7,7,7,7
Madagascar,6,6,6,6,6,6,6,6,6,6,6,6,6
Malawi,6,6,6,6,6,6,6,6,6,6,6,6,6
Malaysia,8,8,8,8,8,8,8,8,8,8,8,8,8
Maldives,,,,,,,6,6,6,6,6,6,6
Mali,5,5,5,5,5,5,5,5,5,5,5,5,5
Malta,,,,,,,,7,7,7,7,7,7
Mauritania,4,4,4,4,4,4,4,4,4,4,4,4,4
Mauritius,6,6,6,6,4,4,4,4,4,4,4,4,4
Mexico,8,8,8,8,8,8,8,8,8,7.7,7.7,7.7,7.7
Moldova,6,6,6,6,6,5,5,5,5,5,5,5,5
Mongolia,5,5,5,5,5,5,5,5,5,5,5,5,5
Montenegro,,,7,7,7,7,7,7,7,6,6,6,6
Morocco,6,6,6,9,9,9,9,9,9,9,9,6,6
Mozambique,8,8,8,8,8,8,8,8,8,8,6,6,6
"Burma (Myanmar)",,,,,,,,,6,6,6,6,6
Namibia,7,7,7,7,7,7,7,7,8,8,8,8,8
Nepal,3,3,3,3,3,3,3,3,3,3,3,3,3
Netherlands,5,5,5,5,5,5,5,5,5,5,5,5,5
"New Zealand",2,2,2,2,2,2,2,2,2,2,2,2,2
Nicaragua,9,9,9,9,9,9,9,9,9,9,9,9,9
Niger,4,4,4,4,4,4,4,4,4,4,4,4,4
Nigeria,14,14,13,13,13,13,13,13,13,12.1,12.1,12.1,12.1
Norway,1,1,1,1,1,1,1,1,1,1,1,1,1
Oman,2,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,8,8,8,8,8,8,8,8,8,7.7,7.7,7.7,7.7
Palau,5,5,5,5,5,5,5,5,5,5,5,5,5
Panama,8,8,8,8,8,8,8,8,8,7,7,7,7
"Papua New Guinea",4,4,4,4,4,4,4,4,4,4,4,4,4
Paraguay,6,6,6,6,6,6,6,6,6,6,6,6,6
Peru,5,5,5,5,5,4,4,4,4,4,4,4,4
Philippines,9,9,9,9,9,9,9,9,9,9,9,9,9
Poland,6,6,6,6,6,6,6,6,6,6,6,6,6
Portugal,5,5,5,5,5,5,1,1,1,1,1,1,1
"Puerto Rico",8,8,8,8,8,8,8,8,8,8,8,8,8
Qatar,,,,7,7,7,7,7,7,7,7,7,7
Romania,7,7,7,7,7,7,7,7,7,7,7,7,7
Russia,6,6,6,6,6,6,6,5,5,4,3,3,3
Rwanda,5,5,5,5,4,4,4,5,5,3,3,3,3
"Saint Thomas and Principe",7,7,7,7,7,7,7,7,7,7,7,7,7
Samoa,5,5,5,5,5,5,5,5,5,5,5,5,5
"San Marino",,,,,,,,,9,9,9,9,9
"Saudi Arabia",5,5,5,5,5,5,5,5,5,5,5,3,3
Senegal,6,6,6,6,6,6,6,6,6,6,5,5,5
Serbia,6,6,6,6,6,6,6,6,6,6,6,6,6
Seychelles,,4,4,4,4,4,4,4,4,4,4,4,4
"Sierra Leone",7,7,7,8,7,7,7,7,7,7,7,7,7
Singapore,4,4,4,6,6,6,6,6,6,6,6,6,6
Slovakia,5,3,3,3,3,3,3,3,3,3,3,3,3
Slovenia,6,6,6,6,6,6,6,5,5,5,5,5,5
"Solomon Islands",10,10,10,10,10,10,10,10,10,10,10,10,10
Somalia,,,,,,,,,,,,5,5
"South Africa",7,7,7,7,7,7,7,7,7,7,7,7,7
"South Sudan",,,,,,,,,9,9,9,9,9
Spain,4,4,4,4,4,4,4,5,5,5,5,5,5
"Sri Lanka",8,8,8,8,8,8,8,8,8,9,9,9,9
"Saint Kitts and Nevis",,6,6,6,6,6,6,6,6,6,6,6,6
"Saint Lucia",,9,9,9,9,9,9,9,9,9,9,9,9
"Saint Vincent and Grenadines",,7,7,7,7,7,7,7,7,7,7,7,7
Sudan,6,6,6,6,6,6,6,6,6,6,6,6,6
Suriname,,4,4,4,4,6,6,6,6,6,6,6,6
Swaziland,,9,9,9,9,9,9,9,9,9,9,9,9
Sweden,2,2,2,2,2,2,1,1,1,1,1,1,1
Switzerland,4,4,4,4,4,4,4,4,4,4,4,4,4
Syria,4,4,4,4,4,4,4,4,4,4,4,4,4
Taiwan,3,3,3,3,3,3,3,3,3,3,3,3,3
Tajikistan,,6,6,6,6,6,6,6,6,6,6,6,6
Tanzania,9,9,9,9,9,9,9,8,8,8,8,8,8
Thailand,4,4,4,4,4,4,4,4,4,4,4,4,4
Togo,5,5,5,5,5,5,5,5,5,5,5,5,5
Tonga,4,4,4,4,4,4,4,4,4,4,4,4,4
"Trinidad and Tobago",,9,9,9,9,9,9,9,9,9,9,9,9
Tunisia,4,4,4,4,4,4,4,4,4,4,4,4,4
Turkey,7,7,7,7,7,7,7,7,7,7,7,7,7
Uganda,11,11,11,11,11,11,11,11,11,10,10,10,10
Ukraine,10,10,10,10,10,10,10,10,10,8,7,7,7
"United Arab Emirates",2,2,2,2,2,2,2,2,2,2,2,2,2
"United Kingdom",6,6,6,6,6,6,6,6,6,6,6,6,6
"United States",4,4,4,4,4,4,4,4,4,4.4,4.4,4.4,4.4
Uruguay,8,8,8,8,8,9,8,8,8,8,8,9,9
Uzbekistan,12,12,12,12,12,12,12,12,12,12,12,9,9
Vanuatu,4,4,4,4,4,4,4,4,4,4,4,4,4
Venezuela,7,7,8,8,8,8,9,9,9,9,9,9,9
Vietnam,5,5,5,5,5,5,5,5,5,5,5,5,5
"West Bank and Gaza",7,7,7,7,7,7,7,7,7,7,7,7,7
Yemen,6,6,6,6,6,6,6,6,6,6,6,6,6
Zambia,6,6,6,6,6,6,5,5,5,5,5,6,6
Zimbabwe,4,4,4,4,4,5,5,5,5,5,5,5,5
